Name,Summary,Average Runtime,Premiere Date,Genres,Type,Language,Network,Rating,Schedule (days),Total Seasons,Total Episodes
Stargate SG-1,Stargate SG-1 is a science fiction series based on the original film <i>Stargate</i>. It involves the team SG-1 going on various adventures to different alien worlds through Stargates. Throughout the series they encounter various alien threats and allies including but not limited to the Goa'uld and the Asgard.,60,7/29/2008,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.9,['Friday'],10,213
Stargate Atlantis,"Atlantis, built thousands of years ago by the highly evolved Ancients, is home base for an elite expedition from Earth. These courageous military commanders and scientists leap through the city's Stargate to explore the wondrous Pegasus galaxy and battle the treacherous Wraith, who seek control of Atlantis -- at any cost.",60,1/9/2009,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.8,['Friday'],5,100
Oz,"HBO's violent men-behind-bars drama is an addictive, testosterone-driven soap opera for guys. The eight episodes of the first season set the style for the show: a massive cast of a vivid characters on both sides of the bars, four or five stories unleashed at a breakneck pace and framed by angry, oddball introductions, and a soaring casualty rate. Created by Homicide producer Tom Fontana, this drama quickly earned its rightful reputation as the most brutal show on TV. It's simple chemistry: combine volatile ingredients in a confined space, shut tight, and shake.",60,2/23/2003,"['Drama', 'Crime']",Scripted,English,HBO,8.8,['Sunday'],6,56
The Sopranos,"The Sopranos, writer-producer-director David Chase's extraordinary television series, is nominally an urban gangster drama, but its true impact strikes closer to home: Like 1999's other screen touchstone, American Beauty, the HBO series chronicles a dysfunctional, suburban American family in bold relief. And for protagonist Tony Soprano, there's the added complexity posed by heading twin families, his collegial mob clan and his own, nouveau riche brood.",60,6/10/2007,"['Drama', 'Crime']",Scripted,English,HBO,8.8,['Sunday'],6,86
Person of Interest,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you.",60,6/21/2016,"['Action', 'Crime', 'Science-Fiction']",Scripted,English,CBS,8.8,['Tuesday'],5,103
Death Note,Death Note is an anime series based around a manga of the same name whereby a human finds a death god's notebook. Any person's name written in this notebook will die. The main character who finds this noteboook is Light Yagami who faces off against an unfaced character named L who tries to challenge him.,30,6/26/2007,"['Drama', 'Anime', 'Thriller', 'Mystery']",Animation,Japanese,NTV,8.8,['Tuesday'],2,37
House,"Sink your teeth into meaty drama and intrigue with House, FOX's take on mystery, where the villain is a medical malady and the hero is an irreverent, controversial doctor who trusts no one, least of all his patients.Dr. Gregory House is a maverick physician who is devoid of bedside manner. While his behavior can border on antisocial, Dr. House thrives on the challenge of solving the medical puzzles that other doctors give up on. Together with his hand-picked team of young medical experts, he'll do whatever it takes in the race against the clock to solve the case.",60,5/21/2012,"['Drama', 'Mystery', 'Medical']",Scripted,English,FOX,8.8,['Monday'],8,176
Planet Earth,"David Attenborough celebrates the amazing variety of the natural world in this epic documentary series, filmed over four years across 64 different countries.",60,12/10/2006,['Nature'],Documentary,English,BBC One,8.8,['Sunday'],1,11
Downton Abbey,"The Downton Abbey estate stands a splendid example of confidence and mettle, its family enduring for generations and its staff a well-oiled machine of propriety. But change is afoot at Downton--change far surpassing the new electric lights and telephone. A crisis of inheritance threatens to displace the resident Crawley family, in spite of the best efforts of the noble and compassionate Earl, Robert Crawley; his American heiress wife, Cora his comically implacable, opinionated mother, Violet and his beautiful, eldest daughter, Mary, intent on charting her own course. Reluctantly, the family is forced to welcome its heir apparent, the self-made and proudly modern Matthew Crawley himself none too happy about the new arrangements. As Matthew's bristly relationship with Mary begins to crackle with electricity, hope for the future of Downton's dynasty takes shape. But when petty jealousies and ambitions grow among the family and the staff, scheming and secrets--both delicious and dangerous--threaten to derail the scramble to preserve Downton Abbey. <i>Downton Abbey</i> offers a spot-on portrait of a vanishing way of life.",71,12/25/2015,"['Drama', 'Family', 'Romance']",Scripted,English,ITV1,8.8,['Sunday'],6,47
Battlestar Galactica,"The world ended with no warning, and all that was left… was hope.A truce between the humans of the Twelve Colonies and the Cylons—intelligent robots designed by humankind—lasts for 40 tense and silent years. Battlestar Galactica picks up just as the Cylons commit mass genocide against humanity. Only the Battlestar Galactica (an old warship about to be decommissioned and turned into a museum) and those souls fortunate enough to be aboard other starships were able to survive the attack. In the aftermath, the Galactica's commanding officer, William Adama, finds himself responsible for safeguarding the last remnants of the human race—fewer than 50,000 desperate survivors. Meanwhile, the annihilation of the Colonial government results in the succession of the Secretary of Education, Laura Roslin, to the presidency. Driven by prophetic visions and political necessity, the Galactica travels through uncharted space in hopes of finding the mythical, lost 13th colony—Earth.",61,1/10/2010,"['Drama', 'Science-Fiction', 'War']",Scripted,English,Syfy,8.7,['Friday'],4,73
Star Trek: The Next Generation,"Star Trek: The Next Generation (TNG) focuses on the 24th century adventures of Captain Jean-Luc Picard aboard the U.S.S. Enterprise (NCC-1701-D). This incarnation of the famous starship is much larger than the one captained by James T. Kirk a century earlier, and, accordingly, it carries a larger crew complement: 1,012 men, women…and, surprisingly, children. This era's Starfleet Command believes that men and women are more likely to sign up for long-term exploratory missions if they think of their ship as home. Thus, Picard's crew enjoys many of the comforts they'd have otherwise left behind, including a wide variety of recreational opportunities, ""replicated"" food dishes to suit every palate, and quarters large enough to share with spouses and offspring. There are schools for the children and a bar (stocked with synthetic alcohol, or synthehol) where the adults can unwind. However, the ongoing mission—no longer limited to a mere five years—remains virtually the same as it was during Kirk's time: to seek out new life and new civilizations, and to boldly go where no one has gone before.",60,5/23/1994,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syndication,8.7,['Monday'],7,178
The IT Crowd,"Emmy-award winning sitcom written by Graham Linehan, set in an IT department starring Chris O'Dowd, Richard Ayoade and Katherine Parkinson.",30,9/27/2013,['Comedy'],Scripted,English,Channel 4,8.7,['Friday'],4,24
Justified,"Deputy U.S. Marshal Raylan Givens is something of a 19th century-style officer in modern times, whose unconventional enforcement of justice makes him a target with criminals and a problem for his superiors in the U.S. Marshals Service. As a result of an eager but ""justified"" shooting of a Miami fugitive while on assignment in Florida, Givens is reassigned to Lexington, Kentucky, in a district that includes his hometown of Harlan, a rural mining town in the east of the state.",60,4/14/2015,"['Drama', 'Crime', 'Western']",Scripted,English,FX,8.7,['Tuesday'],6,78
Fringe,"When an international flight lands at Boston's Logan Airport and the passengers and crew have all died grisly deaths, FBI Special Agent Olivia Dunham is called in to investigate. After her partner is nearly killed during the investigation, a desperate Olivia searches frantically for someone to help, leading her to Dr. Walter Bishop, our generation's Einstein. There's only one catch: he's been institutionalized for the last twenty years, and the only way to question him requires pulling his estranged son Peter in to help. When Olivia's investigation leads her to a manipulative corporate executive, she and her team will discover that what happened on Flight 627 is only a small piece of a larger, more shocking truth and will explore the blurring line between the possible and the impossible.",61,1/18/2013,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,FOX,8.7,['Friday'],5,100
Deadwood,"The outlaw camp of Deadwood marches slowly towards civilization, facing its first elections. But the power struggles continue over everything in Deadwood—influence, money, and whores—as the founding camp members form strategic alliances to face down the threat of a powerful newcomer, seeking to remake Deadwood in his image.",60,5/31/2019,"['Drama', 'Crime', 'Western']",Scripted,English,HBO,8.7,['Sunday'],3,36
Friends,"Six young (20-something) people from New York City (Manhattan), on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.This average group of buddies goes through massive mayhem, family trouble, past and future romances, fights, laughs, tears and surprises as they learn what it really means to be a friend.",30,5/6/2004,"['Comedy', 'Romance']",Scripted,English,NBC,8.6,['Thursday'],10,236
The West Wing,"The entire White House staff bristles with activity when it's learned that the President injured himself during a bicycle accident, and his absence becomes a factor as chief of staff Leo McGarry must juggle a host of impending crises, including a mass boatlift of Cuban refugees approaching the Florida coast and the reaction of conservative Christians to a controversial televised comment by deputy chief of staff Josh Lyman.",60,5/14/2006,['Drama'],Scripted,English,NBC,8.6,['Sunday'],7,154
The Shield,"Detective Vic Mackey is the leader of an elite Strike Team unit, a group of cops effective at eliminating crime but also operating under Vic's own set of rules. But his rules sometimes cross the fine line between legal and illegal. Now the precinct has a new captain who doesn't like Vic's tactics and wants to bust him off the force - even as the captain finds himself going to Vic for help whenever the going gets rough.",61,11/25/2008,"['Drama', 'Crime']",Scripted,English,FX,8.6,['Tuesday'],7,88
Orphan Black,"Orphan Black is about Sarah, an outsider and orphan whose life changes dramatically after witnessing the suicide of a woman, ""Beth"", who looks just like her. Sarah takes her identity, her boyfriend and her money. But instead of solving her problems, the street-smart chameleon is thrust headlong into a kaleidoscopic mystery. She makes the dizzying discovery that she and the dead woman are clones... but are they the only ones? Sarah quickly finds herself caught in the middle of a deadly conspiracy, racing to find answers.",60,8/12/2017,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,CTV Sci-Fi Channel,8.6,['Saturday'],5,50
Banshee,"Banshee stars Antony Starr as Lucas Hood, an ex-con and master thief who assumes the identity of the sheriff of Banshee, Pennsylvania, where he continues his criminal activities, even as he's hunted by the shadowy gangsters he betrayed years earlier.",60,5/20/2016,"['Drama', 'Action', 'Crime']",Scripted,English,Cinemax,8.6,['Friday'],4,38
Farscape,"Astronaut John Crichton assumes he'll be home in time for dinner. But a freak accident during an experimental space mission catapults him across a thousand galaxies to an alien battlefield. Suddenly, he's trapped among alien creatures wielding deadly technology - a battle that 20th century sci-fi pop culture never prepared him for. Hunted by a merciless military race, Crichton begins his quest for home from a galaxy far, far away...",60,3/21/2003,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syfy,8.6,['Friday'],4,88
Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",60,3/5/2021,"['Drama', 'Action', 'History']",Scripted,English,History,8.6,['Friday'],6,89
Better Call Saul,"Better Call Saul is the prequel to the award-winning series Breaking Bad, set six years before Saul Goodman became Walter White's lawyer. When we meet him, the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and often against, Jimmy is ""fixer"" Mike Ehrmantraut, a beloved character introduced in Breaking Bad. The series will track Jimmy's transformation into Saul Goodman, the man who puts ""criminal"" in ""criminal lawyer.",64,8/15/2022,"['Drama', 'Crime', 'Legal']",Scripted,English,AMC,8.6,['Monday'],6,63
The X-Files,"Two FBI agents, Fox Mulder (a believer) and Dana Scully (a skeptic), investigate unexplained cases where the paranormal might be involved while hidden forces work to impede their efforts.",60,3/21/2018,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,FOX,8.6,['Wednesday'],11,218
Shameless,"Shameless is a fiercely engaging and fearlessly twisted series. Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",60,4/11/2021,"['Drama', 'Comedy', 'Family']",Scripted,English,Showtime,8.5,['Sunday'],11,134
Cosmos,"Hosted by renowned astrophysicist Neil deGrasse Tyson, Cosmos will explore how we discovered the laws of nature and found our coordinates in space and time. It will bring to life never-before-told stories of the heroic quest for knowledge and transport viewers to new worlds and across the universe for a vision of the cosmos on the grandest scale. Cosmos will invent new modes of scientific storytelling to reveal the grandeur of the universe and re-invent celebrated elements of the legendary original series, including the Cosmic Calendar and the Ship of the Imagination. The most profound scientific concepts will be presented with stunning clarity, uniting skepticism and wonder, and weaving rigorous science with the emotional and spiritual into a transcendent experience.",60,4/20/2020,['Unknown'],Documentary,English,National Geographic,8.5,['Monday'],3,39
Naruto: Shippūden,"Naruto: Shippuden is the continuation of the original animated TV series Naruto.The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as he has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki.",30,3/23/2017,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,TV Tokyo,8.5,['Thursday'],23,500
The Office,"Steve Carell stars in The Office, a fresh and funny mockumentary-style glimpse into the daily interactions of the eccentric workers at the Dunder Mifflin paper supply company. Based on the smash-hit British series of the same name and adapted for American Television by Greg Daniels, this fast-paced comedy parodies contemporary American water-cooler culture. Earnest but clueless regional manager Michael Scott believes himself to be an exceptional boss and mentor, but actually receives more eye-rolls than respect from his oddball staff.",30,5/16/2013,['Comedy'],Scripted,English,NBC,8.5,['Thursday'],9,202
Rome,"Four hundred years after the founding of the Republic, Rome is the wealthiest city in the world. The Republic was founded on principals of shared power, never allowing one man to seize absolute control. But now, those foundations are crumbling...and two soldiers unwittingly become entwined in the historical events of ancient Rome. A drama of love and betrayal, masters and slaves, husbands and wives, Rome chronicles a turbulent era that saw the death of a republic and the birth of an empire.",60,3/25/2007,"['Drama', 'Action', 'Adventure']",Scripted,English,HBO,8.5,['Sunday'],2,22
Fawlty Towers,"Fawlty Towers is set in a fictional hotel in the seaside town of Torquay. The plots centre on tense, rude and put-upon owner Basil Fawlty, his bossy wife Sybil, comparatively normal chambermaid Polly, who is often the peacemaker and voice of reason, and hapless Spanish waiter Manuel, showing their attempts to run the hotel amidst farcical situations and an array of demanding and eccentric guests.",30,10/25/1979,['Comedy'],Scripted,English,BBC Two,8.5,['Monday'],2,12
The Americans,The Americans is a period drama about the complex marriage of two KGB spies posing as Americans in suburban Washington D.C. shortly after Ronald Reagan is elected President.,62,5/30/2018,"['Drama', 'Espionage']",Scripted,English,FX,8.5,['Wednesday'],6,75
Babylon 5,"""It was the dawn of the Third Age of Mankind ten years after the Earth-Minbari War The Babylon Project was a dream given form. Its goal: to prevent another war by creating a place where Humans and aliens could work out their differences peacefully. It's a port of call – home away from home for diplomats, hustlers, entrepreneurs, and wanderers. Humans and aliens wrapped in two million, five-hundred thousand tons of spinning metal, all alone in the night. It can be a dangerous place, but it's our last best hope for peace. This is the story of the last of the Babylon stations. The year is 2258. The name of the place is Babylon 5"".A five season space opera written by J. Michael Straczynsky.",60,8/15/2023,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,TNT,8.5,['Wednesday'],5,110
Spartacus,"Betrayed by his country. Beaten into slavery. Reborn as a warrior. Spartacus is a graphic and visceral account of Rome's most famous gladiator. When he is separated from the love of his life, Spartacus is forced into the gruesome and bloodthirsty arena, where a grisly death is primetime entertainment. Spartacus must fight for survival, befriend his enemies and play politics in this new world of corruption, violence, sex and fame. He will be seduced by power and tormented by vengeance. But his passion will give him the strength to prevail over every obstacle, in this modern and uninhibited tale of death, honour and endurance.",60,4/12/2013,"['Drama', 'Action', 'History']",Scripted,English,STARZ,8.5,['Friday'],3,33
Scrubs,"Fresh out of medical school, new doctors John ""J.D."" Dorian, his best friend Christopher Turk, and Elliot Reid start their internship at Sacred Heart Hospital. There, they meet the harsh Chief of Medicine Dr. Bob Kelso, J.D.'s reluctant mentor Dr. Perry Cox, nurse Carla Espinosa, and the deceitful and prankish Janitor. Also at the hospital are the wide range of personalities of Sacred Heart's staff, including the religious nurse Laverne Roberts, incompetent lawyer Ted Buckland, and spiteful board member Jordan Sullivan who also happens to be Cox's ex-wife. Other interns make the cut, such as the high-fiving Todd Quinlan and nervous Doug Murphy. Over the next 9 years they face personal and professional highs and lows, realizing that they can't make it through life - much less a hectic job as a doctor - on their own.",30,3/17/2010,"['Drama', 'Comedy', 'Medical']",Scripted,English,ABC,8.5,['Wednesday'],9,182
Luther,"A dark psychological crime drama starring Idris Elba as Luther, a man struggling with his own terrible demons, who might be as dangerous as the depraved murderers he hunts.",60,3/10/2023,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC One,8.5,"['Tuesday', 'Wednesday', 'Thursday', 'Friday']",5,20
Batman: The Animated Series,"Experience the thrills of vigilante justice as millionaire playboy Bruce Wayne and alter-ego Batman protect the streets of Gotham City from a host of villains including archnemesis The Joker, deadly-beautiful Poison Ivy and primitive Killer Croc in a fresh take on super hero storytelling. Intelligent, dramatic stories, unique characters and sharp dialog shaped this edgy TV series into an Emmy®-winning powerhouse that brought the Caped Crusader out of the dark alleys of TV history and into the present for fans of all ages.",30,3/17/1998,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Fox Kids,8.5,['Saturday'],4,85
Line of Duty,"A drama about the investigations of AC-12, a controversial Police Anti-Corruption Unit.",62,5/2/2021,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC One,8.5,['Sunday'],6,36
Buffy the Vampire Slayer,"<i>""Into every generation, there is a chosen one. She alone will stand against the vampires, the demons, and the forces of darkness. She is the slayer.""</i>Buffy Summers is the latest in a line of young women known as ""Vampire Slayers"" who have to battle vampires, demons and other forces of evil, all while growing up and dealing with love and teenage angst in this iconic cult series. She and her ""Scooby Gang"" fight the good fight in a small town called Sunnydale.",60,5/20/2003,"['Drama', 'Action', 'Supernatural']",Scripted,English,UPN,8.5,['Tuesday'],7,144
Spartacus: Gods of the Arena,"The mini-series features the bloody history of the House of Batiatus and the city of Capua before the arrival of Spartacus. Quintus Lentulus Batiatus becomes a lanista (manager) when he takes over his father's ludus of gladiators. He has ambitions of stepping out of his father's shadow by seeking recognition for his own name and achieving further greatness for his house. By his side stands his beautiful wife Lucretia who will help her husband achieve his ambitions, whatever the cost. Batiatus puts all his fortunes on the man who will gain him fame and glory. That would be his best gladiator, the Celt, Gannicus, a skilled warrior who wields dual swords with deadly purpose. Those who oppose Batiatus and his future champion(s) of Capua do so at their own peril.Purchased as an undisciplined and disheveled recruit in the first episode, Crixus the Gaul endures mockery and threats of death to become the champion after Gannicus. As Batiatus fends off repeated attempts by his professional rival Tullius to obtain Gannicus, his relationships with his father Titus and friend Solonius begin to suffer the strain of his relentless ambition. Former champion, Oenomaus, reluctantly becomes Doctore, while Syrian recruits Ashur and Dagan try to prove themselves worthy of being gladiators. Veteran gladiators Barca and Gannicus note the rising star of Crixus, as the machinations of Batiatus and Lucretia end in tragedy for several members of the household. Against all of this, the city's splendid new arena nears completion and with it the opening games that will make slaves into gods. When the arena opens, Batiatus' gladiators prevail in the contest. Gannicus again proves himself to be the champion of Capua and a god of the arena. By virtue of his win against Solonius' gladiators, he gains his freedom and Crixus becomes the new champion.",60,2/25/2011,"['Drama', 'Action', 'History']",Scripted,English,STARZ,8.5,['Friday'],1,6
Eureka,"With the help of Albert Einstein and other trusted advisors, President Harry S. Truman commissioned a top-secret residential development in a remote area of the Pacific Northwest, one that would serve to protect and nurture America's most valuable intellectual resources. There our nation's greatest thinkers, the über-geniuses working on the next era of scientific achievement, would be able to live and work in a supportive environment.The best architects and planners were commissioned to design a welcoming place for these superlative geniuses to reside, an area that would offer the best education for their children, the best healthcare, the best amenities and quality of life. A community was created to rival the most idyllic of America's small towns— with one major difference: this town would never appear on any maps. At least, none that haven't been classified ""eyes only"" by the Pentagon.Thus, the town of Eureka was born. But for all its familiar, small-town trappings, things in this secret hamlet are anything but ordinary. The stereotype of the absent-minded professor exists for a reason, and most of the quantum leaps in science and technology during the past 50 years were produced by Eureka's elite researchers. Unfortunately, scientific exploration is rarely what one expects, and years of experiments gone awry have yielded some peculiar by-products.With the population's unique talents, troubled psyches and limitless resources, these small-town concerns have a way of becoming big-time problems. It is at that intersection, where human frailty and super-science collide, that Eureka began…",61,7/16/2012,"['Drama', 'Comedy', 'Science-Fiction']",Scripted,English,Syfy,8.5,['Monday'],5,76
Peaky Blinders,An epic gangster drama set in the lawless streets of 1920s Birmingham.,61,4/3/2022,"['Drama', 'Crime', 'History']",Scripted,English,BBC One,8.5,['Sunday'],6,36
Cowboy Bebop,"In the year 2071, the crew of the spaceship Bebop travel the solar system trying to apprehend bounties. In the slang of the era, ""Cowboys"" are bounty hunters. Most episodes revolve around a specific bounty, but the show often shares its focus with the pasts of one of each of the four main characters and of more general past events, which are revealed and brought together as the series progresses. (The show originally aired on TV Tokyo, but due to what the network considered ""excessive violence"", only a few episodes, out of order, were ever shown. The channel WOWOW later picked up the series and aired the entire 26 episode run, in order.)",30,9/1/2001,"['Action', 'Adventure', 'Anime', 'Science-Fiction']",Animation,Japanese,WOWOW,8.5,['Saturday'],1,26
Silicon Valley,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. From Mike Judge comes this satire about a programmer whose game-changing algorithm becomes the subject of a valley-wide bidding war.",30,12/8/2019,['Comedy'],Scripted,English,HBO,8.4,['Sunday'],6,53
Endeavour,"The early days of a young Endeavour Morse, whose experiences as a detective constable with the Oxford City Police will ultimately shape his future.",120,3/12/2023,"['Drama', 'Crime', 'Mystery']",Scripted,English,ITV1,8.4,['Sunday'],9,35
Grimm,"Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",60,3/31/2017,"['Drama', 'Crime', 'Supernatural']",Scripted,English,NBC,8.4,['Friday'],6,123
Black Sails,"1715. The Golden Age of Piracy. New Providence Island is a lawless territory, controlled by history's most notorious pirate captains. The most feared is Captain Flint.As the British Navy returns to redeem their land and exterminate Flint and his crew, another side of him emerges. Captain Flint aligns himself with Eleanor Guthrie, daughter of the local kingpin, to hunt the ultimate prize and ensure their survival.Many opponents stand in their way: rival captains, jealous of Flint's power; Eleanor's ambitious and intrusive father; and a young sailor recently recruited onto Flint's crew, John Silver, who constantly undermines his captain's agenda.",60,4/2/2017,"['Drama', 'Action', 'Adventure']",Scripted,English,STARZ,8.4,['Sunday'],4,38
Broadchurch,"David Tennant, Olivia Colman, Andrew Buchan and Jodie Whittaker, star in Broadchurch – a brand new powerful, thought provoking drama series by Kudos Film and Television for ITV.The sadness of losing a child consumes the family, Beth and Mark Latimer their daughter 15-year-old Chloe and Beth's mum Liz as they attempt to cope with their grief, everyday normal life and the abruptness of the unwarranted attention heaped upon them. Devastated by their loss, it's the most stressful and emotional time in their lives as they struggle to relate to their friends, neighbours, the church, the press, and the police.",60,4/17/2017,"['Drama', 'Crime', 'Mystery']",Scripted,English,ITV1,8.4,['Monday'],3,24
The Unit,The Unit is a covert Special Forces team that does not exist. Their cover is the 303rd logistical studies group. They are assigned covert military operations by the President and never get credit for their actions. Their wives are also a tight group protecting their husbands. They protect their husband's secrets and maintain their cover.,60,5/10/2009,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,8.4,['Tuesday'],4,69
Blackadder,Comedy set in different historical periods that features the ill-fated exploits of the mean-spirited Edmund Blackadder and his dim sidekick Baldrick.,30,11/2/1989,"['Comedy', 'History']",Scripted,English,BBC One,8.4,['Thursday'],4,24
